name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,versatility,release_clause,talent,dominant_position,traits
Sergio Busquets,30,16/7/1988,189,76,Spain,FC Barcelona,89,89,55000000,300000,CDM;CM,Right,4,3,3,5,2,112800000,Playmaker ;Tactician ,CDM,Giant_Throw-in
Neymar Jr,27,5/2/1992,175,68,Brazil,Paris Saint-Germain,92,92,105500000,290000,LW;CAM,Right,5,5,5,8,2,195200000,Speedster;Dribbler;Playmaker ;Crosser;FK_Specialist;Acrobat;Clinical_Finisher;Complete_Midfielder;Complete_Forward,CAM,Power_Free-Kick;Injury_Free;Selfish;Early_Crosser;Speed_Dribbler;Crowd_Favourite
Piqué,32,2/2/1987,194,85,Spain,FC Barcelona,88,88,38000000,285000,CB,Right,4,3,2,8,1,77900000,Aerial_Threat;Tackling ;Tactician ;Strength;Complete_Defender,RCB,Avoids_Using_Weaker_Foot
K. Benzema,31,19/12/1987,185,81,France,Real Madrid,87,87,45000000,285000,CF;ST,Right,4,4,4,4,2,92300000,Ordinary,CF,Finesse_Shot;Speed_Dribbler;Giant_Throw-in
David Silva,33,8/1/1986,173,67,Spain,Manchester City,88,88,36000000,265000,CAM;CM,Left,4,2,4,8,2,66600000,Dribbler;Playmaker ;Acrobat;Complete_Midfielder,LCM,Beat_Offside_Trap;Selfish;Finesse_Shot
R. Sterling,24,8/12/1994,170,69,England,Manchester City,88,90,73000000,255000,RW;LW,Right,3,3,4,8,2,140500000,Speedster;Dribbler;Acrobat,LW,Selfish;Early_Crosser
M. ter Stegen,27,30/4/1992,187,85,Germany,FC Barcelona,90,93,67500000,250000,GK,Right,3,4,1,5,1,143400000,Ordinary,GK,Swerve_Pass;Acrobatic_Clearance;Flair_Passes
P. Pogba,26,15/3/1993,191,84,France,Manchester United,88,91,72500000,250000,CM;CDM,Right,4,4,5,8,2,143200000,Dribbler;Playmaker ;Strength;Complete_Midfielder,LDM,Selfish;Leadership;Argues_with_Officials;Finesse_Shot;Crowd_Favourite
G. Bale,29,16/7/1989,185,82,Wales,Real Madrid,85,85,37500000,250000,RW;LW;ST,Left,4,3,4,5,3,76900000,Speedster;Distance_Shooter;Crosser;FK_Specialist,SUB,Inflexible;Power_Free-Kick;Argues_with_Officials;Early_Crosser;Speed_Dribbler;Outside_Foot_Shot
Isco,27,21/4/1992,176,79,Spain,Real Madrid,86,87,51000000,245000,CAM;CM;LW,Right,3,3,4,4,3,108400000,Dribbler,SUB,Injury_Free;Beat_Offside_Trap;Selfish;Finesse_Shot;Speed_Dribbler;Crowd_Favourite
I. Rakitic,31,10/3/1988,184,78,Croatia,FC Barcelona,86,86,38000000,245000,CM;CDM,Right,4,4,3,5,2,77900000,Ordinary,RCM,Diver;Argues_with_Officials
M. Salah,27,15/6/1992,175,71,Egypt,Liverpool,90,90,80500000,240000,RW;ST,Left,3,3,4,8,2,148900000,Speedster;Dribbler;Acrobat;Clinical_Finisher;Complete_Forward,RW,Beat_Offside_Trap;Argues_with_Officials;Early_Crosser;Speed_Dribbler;Outside_Foot_Shot
Casemiro,27,23/2/1992,185,84,Brazil,Real Madrid,87,89,53500000,240000,CDM,Right,3,3,2,6,1,113700000,Tackling ;Tactician ;Strength;Complete_Defender,CDM,Long_Throw-in;Injury_Prone;Argues_with_Officials
Jordi Alba,30,21/3/1989,170,68,Spain,FC Barcelona,87,87,40000000,240000,LB,Left,3,3,3,8,1,82000000,Speedster;Crosser;Acrobat,LB,Good
N. Kanté,28,29/3/1991,168,72,France,Chelsea,89,90,66000000,235000,CDM;CM,Right,3,3,2,6,2,130400000,Tackling ;Tactician ,RCM,Diver
R. Lewandowski,30,21/8/1988,184,80,Poland,FC Bayern München,89,89,64500000,235000,ST,Right,4,4,4,8,1,106400000,Clinical_Finisher,ST,Diver;Beat_Offside_Trap;Speed_Dribbler;Outside_Foot_Shot
T. Courtois,27,11/5/1992,199,96,Belgium,Real Madrid,88,89,48000000,235000,GK,Left,4,2,1,5,1,102000000,Ordinary,GK,Flair;Acrobatic_Clearance
J. Rodríguez,27,12/7/1991,180,75,Colombia,Real Madrid,85,85,40500000,225000,CAM;CM;RM,Left,4,2,4,5,3,83000000,Playmaker ;Distance_Shooter;Crosser;FK_Specialist;Complete_Midfielder,SUB,Selfish;Finesse_Shot;Speed_Dribbler;Crowd_Favourite
H. Kane,25,28/7/1993,188,89,England,Tottenham Hotspur,89,91,83000000,220000,ST,Right,3,4,3,9,1,159800000,Engine;Distance_Shooter;Clinical_Finisher,ST,Injury_Free;Avoids_Using_Weaker_Foot;Argues_with_Officials;Giant_Throw-in
S. Mané,27,10/4/1992,175,69,Senegal,Liverpool,88,88,62000000,220000,LW;LM,Right,3,4,4,8,2,114700000,Speedster;Dribbler;Acrobat,LW,Selfish;Early_Crosser
G. Chiellini,34,14/8/1984,187,85,Italy,Juventus,89,89,24500000,215000,CB,Left,4,3,2,6,1,40400000,Tackling ;Tactician ;Strength;Complete_Defender,LCB,Inflexible;Power_Free-Kick;Injury_Prone;Long_Passer
P. Dybala,25,15/11/1993,177,75,Argentina,Juventus,88,92,76500000,215000,CAM;RW,Left,3,3,4,5,2,132000000,Dribbler;Playmaker ;FK_Specialist;Acrobat;Complete_Midfielder,RW,Beat_Offside_Trap;Selfish;Finesse_Shot;Speed_Dribbler;Crowd_Favourite
Bernardo Silva,24,10/8/1994,173,64,Portugal,Manchester City,87,90,64000000,210000,RW;CAM;CM,Left,2,3,4,9,3,123200000,Dribbler;Engine;Acrobat,RW,Selfish;Finesse_Shot;Crowd_Favourite
S. Umtiti,25,14/11/1993,182,75,France,FC Barcelona,86,89,50000000,210000,CB,Left,3,3,2,6,1,106300000,Tackling ;Tactician ,SUB,Good
De Gea,28,7/11/1990,192,82,Spain,Manchester United,89,90,56000000,205000,GK,Right,4,3,1,5,1,110600000,Ordinary,GK,Flair;Second_Wind;Flair_Passes
C. Eriksen,27,14/2/1992,181,76,Denmark,Tottenham Hotspur,88,89,68000000,205000,CAM;CM,Right,3,5,4,9,2,130900000,Playmaker ;Engine;Crosser;FK_Specialist;Complete_Midfielder,RM,Selfish;Argues_with_Officials;Finesse_Shot
P. Aubameyang,30,18/6/1989,187,80,Gabon,Arsenal,88,88,57000000,205000,ST;LM,Right,3,4,4,4,2,108300000,Poacher;Speedster;Complete_Forward,LM,Diver;Beat_Offside_Trap;Early_Crosser;Speed_Dribbler;Outside_Foot_Shot
R. Varane,26,25/4/1993,191,81,France,Real Madrid,85,90,45000000,205000,CB,Right,3,3,2,6,1,95600000,Tackling ,RCB,Good
Carvajal,27,11/1/1992,173,73,Spain,Real Madrid,85,86,38000000,205000,RB,Right,3,3,3,9,1,80800000,Engine,RB,Good
Marcelo,31,12/5/1988,174,75,Brazil,Real Madrid,85,85,28000000,205000,LB,Left,4,4,5,7,1,57400000,Dribbler;Crosser,LB,Selfish;Speed_Dribbler
A. Vidal,32,22/5/1987,180,75,Chile,FC Barcelona,84,84,23500000,205000,CM;CDM,Right,4,4,3,9,2,48200000,Engine;Tackling ,SUB,Injury_Prone;Long_Passer;Skilled_Dribbling
V. van Dijk,27,8/7/1991,193,92,Netherlands,Liverpool,90,91,78000000,200000,CB,Right,3,3,2,5,1,150200000,Tackling ;Tactician ;Strength;Complete_Defender,LCB,Diver;Avoids_Using_Weaker_Foot;Leadership;Long_Passer
Fernandinho,34,4/5/1985,179,67,Brazil,Manchester City,87,87,19500000,200000,CDM,Right,3,4,3,6,1,36100000,Tactician ,CDM,Argues_with_Officials
E. Cavani,32,14/2/1987,185,77,Uruguay,Paris Saint-Germain,88,88,47000000,195000,ST,Right,4,4,3,9,1,87000000,Engine,ST,Long_Passer
A. Laporte,25,27/5/1994,189,85,France,Manchester City,87,90,56500000,195000,CB;LB,Left,2,3,2,5,2,108800000,Tackling ;Tactician ,LCB,Leadership
K. Navas,32,15/12/1986,185,80,Costa Rica,Real Madrid,87,87,30500000,195000,GK,Right,3,3,1,5,1,62500000,Ordinary,SUB,Flair;Second_Wind
L. Sané,23,11/1/1996,183,75,Germany,Manchester City,86,92,61000000,195000,LW,Left,2,3,4,8,1,125100000,Speedster;Dribbler;Acrobat,SUB,Long_Throw-in;Selfish;Early_Crosser
F. de Jong,22,12/5/1997,180,74,Netherlands,FC Barcelona,85,91,52000000,195000,CM;CDM,Right,3,3,4,6,2,117000000,Dribbler;Playmaker ;Complete_Midfielder,LCM,Selfish;Finesse_Shot;Speed_Dribbler;Crowd_Favourite
O. Dembélé,22,15/5/1997,178,67,France,FC Barcelona,84,90,42500000,195000,RW;LW,Left,3,5,5,8,2,95600000,Speedster;Dribbler,SUB,Power_Free-Kick;Selfish;Early_Crosser;Crowd_Favourite
R. Mahrez,28,21/2/1991,179,67,Algeria,Manchester City,84,84,31500000,195000,RW;RM,Left,3,4,5,5,2,58300000,Dribbler;Acrobat,SUB,Injury_Free;Beat_Offside_Trap;Selfish;Argues_with_Officials;Crowd_Favourite
Ederson,25,17/8/1993,188,86,Brazil,Manchester City,88,91,54500000,185000,GK,Left,2,3,1,5,1,104900000,Ordinary,GK,Leadership;Swerve_Pass;Acrobatic_Clearance
H. Son,26,8/7/1992,183,78,Korea Republic,Tottenham Hotspur,87,88,60000000,185000,CF;LM,Right,3,5,4,9,2,115500000,Dribbler;Engine;Distance_Shooter;Acrobat;Clinical_Finisher;Complete_Forward,LM,Diver;Beat_Offside_Trap;Argues_with_Officials;Early_Crosser
Thiago,28,11/4/1991,174,70,Spain,FC Bayern München,87,87,50000000,180000,CM;CAM;CDM,Right,3,3,5,5,3,82500000,Dribbler;Playmaker ;Acrobat;Complete_Midfielder,CDM,Power_Free-Kick;Injury_Prone;Selfish;Speed_Dribbler;Crowd_Favourite
M. Pjanic,29,2/4/1990,178,72,Bosnia Herzegovina,Juventus,86,86,42500000,180000,CM;CDM,Right,3,4,3,5,2,70100000,Dribbler;Playmaker ;FK_Specialist;Complete_Midfielder,CDM,Beat_Offside_Trap;Argues_with_Officials;Finesse_Shot;Crowd_Favourite
Arthur,22,12/8/1996,171,73,Brazil,FC Barcelona,84,89,41000000,180000,CM,Right,2,3,4,5,1,87100000,Dribbler;Playmaker ;Complete_Midfielder,SUB,Finesse_Shot;Crowd_Favourite
I. Gündogan,28,24/10/1990,180,80,Germany,Manchester City,84,84,31000000,180000,CM;CDM,Right,3,4,4,8,2,57400000,Playmaker ,SUB,Power_Free-Kick;Selfish;Finesse_Shot;Crowd_Favourite
Marco Asensio,23,21/1/1996,182,76,Spain,Real Madrid,83,87,34000000,180000,LW;RW,Left,3,3,4,8,2,72300000,Ordinary,SUB,Argues_with_Officials
Lucas Vázquez,28,1/7/1991,173,70,Spain,Real Madrid,81,81,18000000,180000,RW;RM,Right,2,4,4,7,2,36900000,Ordinary,SUB,Good
Coutinho,27,12/6/1992,172,68,Brazil,FC Bayern München,86,86,46500000,175000,LW;CM,Right,3,4,5,8,2,0,Dribbler;FK_Specialist;Acrobat,LCM,Injury_Free;Selfish;Argues_with_Officials;Crowd_Favourite
C. Lenglet,24,17/6/1995,186,81,France,FC Barcelona,85,89,45000000,175000,CB,Left,2,4,2,6,1,95600000,Tactician ,LCB,Long_Passer
Neto,29,19/7/1989,190,84,Brazil,FC Barcelona,85,86,31000000,175000,GK,Right,2,2,1,5,1,65900000,Ordinary,SUB,Good
G. Higuaín,31,10/12/1987,186,89,Argentina,Juventus,85,85,34500000,175000,ST,Right,4,4,3,8,1,56900000,Clinical_Finisher,SUB,Argues_with_Officials;Speed_Dribbler;Skilled_Dribbling
M. Reus,30,31/5/1989,180,71,Germany,Borussia Dortmund,88,88,56000000,170000,CAM;LM;ST,Right,4,4,4,8,3,92400000,Dribbler;Playmaker ;Distance_Shooter;FK_Specialist;Acrobat;Clinical_Finisher;Complete_Midfielder;Complete_Forward,CAM,Power_Free-Kick;Avoids_Using_Weaker_Foot;Beat_Offside_Trap;Argues_with_Officials;Early_Crosser;Finesse_Shot;Speed_Dribbler
Roberto Firmino,27,2/10/1991,181,76,Brazil,Liverpool,86,87,52000000,170000,CF;ST;CAM,Right,3,4,4,9,3,100100000,Dribbler;Playmaker ;Engine;Complete_Midfielder,CF,Selfish;Finesse_Shot;Outside_Foot_Shot;Crowd_Favourite
T. Müller,29,13/9/1989,186,75,Germany,FC Bayern München,86,86,43500000,170000,CAM;RM;RW,Right,4,4,3,9,3,71800000,Engine;Clinical_Finisher,SUB,Diver;Speed_Dribbler
A. Lacazette,28,28/5/1991,175,73,France,Arsenal,86,86,46000000,165000,ST,Right,3,4,4,9,1,87400000,Dribbler,ST,Selfish;Speed_Dribbler;Crowd_Favourite
K. Walker,29,28/5/1990,183,70,England,Manchester City,84,84,25500000,165000,RB,Right,3,2,2,9,1,47200000,Speedster;Engine,RB,Inflexible;Early_Crosser
Nacho Fernández,29,18/1/1990,180,76,Spain,Real Madrid,82,83,21000000,165000,CB;LB;RB,Right,2,4,2,6,3,44600000,Ordinary,SUB,Good
L. Bonucci,32,1/5/1987,190,85,Italy,Juventus,86,86,28500000,160000,CB,Right,3,4,2,3,1,47000000,Tactician ,RCB,Long_Throw-in;Diver;Leadership;Long_Passer
M. Mand?ukic,33,21/5/1986,190,85,Croatia,Juventus,84,84,19500000,160000,ST;LW,Right,3,3,3,9,2,32200000,Aerial_Threat;Strength,ST,Injury_Prone;Selfish;Long_Passer;Speed_Dribbler;Skilled_Dribbling
Rafinha,26,12/2/1993,174,71,Brazil,FC Barcelona,81,84,22000000,160000,CAM;CM;RW,Left,2,4,4,8,3,46800000,Dribbler,SUB,Power_Free-Kick;Selfish;Finesse_Shot;Crowd_Favourite
K. Mbappé,20,20/12/1998,178,73,France,Paris Saint-Germain,89,95,93500000,155000,ST;RW,Right,3,4,5,7,2,191700000,Speedster;Dribbler;Acrobat,RW,Beat_Offside_Trap;Selfish;Early_Crosser;Speed_Dribbler;Crowd_Favourite
Alisson,26,2/10/1992,191,91,Brazil,Liverpool,89,91,58000000,155000,GK,Right,3,3,1,5,1,111700000,Ordinary,GK,Flair;Swerve_Pass
M. Neuer,33,27/3/1986,193,92,Germany,FC Bayern München,88,88,32000000,155000,GK,Right,5,4,1,5,1,52800000,Ordinary,GK,Power_Free-Kick;Flair;Swerve_Pass;Acrobatic_Clearance
J. Vertonghen,32,24/4/1987,189,86,Belgium,Tottenham Hotspur,87,87,32500000,155000,CB,Left,3,3,3,9,1,60100000,Tackling ;Tactician ,LCB,Long_Throw-in;Avoids_Using_Weaker_Foot
T. Alderweireld,30,2/3/1989,186,81,Belgium,Tottenham Hotspur,87,87,41000000,155000,CB,Right,3,3,2,5,1,75900000,Tackling ;Tactician ,RCB,Leadership
Alex Sandro,28,26/1/1991,180,80,Brazil,Juventus,85,85,33000000,155000,LB;LM,Left,3,3,3,8,2,54500000,Ordinary,LB,Early_Crosser
Douglas Costa,28,14/9/1990,172,70,Brazil,Juventus,84,84,31500000,155000,LM;RW;LW,Left,3,3,5,8,3,52000000,Speedster;Dribbler;Acrobat,SUB,Selfish;Argues_with_Officials;Early_Crosser
L. Jovic,21,23/12/1997,182,85,Serbia,Real Madrid,83,89,36500000,155000,ST,Right,1,5,3,5,1,82100000,Poacher,SUB,Speed_Dribbler;Outside_Foot_Shot
Sergi Roberto,27,7/2/1992,178,68,Spain,FC Barcelona,82,83,22000000,155000,RB;RM;CM,Right,3,3,4,9,3,46800000,Engine,SUB,Good
K. Koulibaly,28,20/6/1991,187,89,Senegal,Napoli,89,91,67500000,150000,CB,Right,3,3,2,6,1,119800000,Tackling ;Tactician ;Strength;Complete_Defender,LCB,Long_Passer
H. Lloris,32,26/12/1986,188,82,France,Tottenham Hotspur,88,88,36000000,150000,GK,Left,4,1,1,5,1,66600000,Ordinary,GK,Swerve_Pass;Acrobatic_Clearance
A. Di María,31,14/2/1988,180,69,Argentina,Paris Saint-Germain,86,86,39000000,150000,RW;LW,Left,4,2,5,8,2,72200000,Dribbler;Crosser;FK_Specialist;Acrobat,LW,Selfish;Argues_with_Officials;Speed_Dribbler;Outside_Foot_Shot;Crowd_Favourite
Rodri,23,22/6/1996,191,82,Spain,Manchester City,85,90,47000000,150000,CDM;CM,Right,2,4,3,6,2,90500000,Ordinary,SUB,Good
João Cancelo,25,27/5/1994,182,74,Portugal,Manchester City,84,89,36500000,150000,RB,Right,2,3,4,8,1,70300000,Crosser,SUB,Crowd_Favourite
Nélson Semedo,25,16/11/1993,177,67,Portugal,FC Barcelona,82,87,26000000,150000,RB,Right,2,3,4,6,1,55300000,Speedster;Acrobat,RB,Early_Crosser
A. Sánchez,30,19/12/1988,169,62,Chile,Manchester United,82,82,21000000,150000,LW;LM,Right,4,3,4,9,2,39900000,Ordinary,SUB,Power_Free-Kick;Selfish;Crowd_Favourite;Skilled_Dribbling
B. Matuidi,32,9/4/1987,180,75,France,Juventus,85,85,25000000,145000,CDM;CM,Left,3,2,2,6,2,41300000,Tactician ,SUB,Diver;Beat_Offside_Trap
Azpilicueta,29,28/8/1989,178,76,Spain,Chelsea,84,84,25500000,145000,RB;CB,Right,3,3,2,5,2,48500000,Tackling ;Tactician ,RB,Inflexible;Diver;Dives_Into_Tackles;Leadership;Giant_Throw-in
N. Otamendi,31,12/2/1988,183,81,Argentina,Manchester City,83,83,19000000,145000,CB,Right,3,3,2,6,1,35200000,Ordinary,SUB,Diver;Injury_Prone;Long_Passer
Mariano,25,1/8/1993,180,76,Dominican Republic,Real Madrid,79,82,16000000,145000,ST,Right,1,4,3,8,1,34000000,Ordinary,SUB,Long_Throw-in;Power_Free-Kick;Injury_Free;Argues_with_Officials;Long_Passer
L. Insigne,28,4/6/1991,163,59,Italy,Napoli,87,87,52000000,140000,CF;LW;ST,Right,3,4,4,8,3,88400000,Dribbler;Crosser;Acrobat,LS,Beat_Offside_Trap;Argues_with_Officials;Early_Crosser
M. Verratti,26,5/11/1992,165,60,Italy,Paris Saint-Germain,86,89,54500000,140000,CM;CDM,Right,3,4,4,6,2,104900000,Dribbler;Playmaker ;Acrobat;Complete_Midfielder,RCM,Selfish;Finesse_Shot
G. Wijnaldum,28,11/11/1990,175,69,Netherlands,Liverpool,84,84,31000000,140000,CM;CDM,Right,3,3,4,9,2,57400000,Engine,LCM,Selfish
A. Martial,23,5/12/1995,184,76,France,Manchester United,83,88,34500000,140000,LW;ST;LM,Right,3,3,4,4,3,68100000,Dribbler,ST,Beat_Offside_Trap;Selfish;Early_Crosser;Crowd_Favourite
J. Stones,25,28/5/1994,188,70,England,Manchester City,83,87,30000000,140000,CB,Right,2,4,3,8,1,57800000,Ordinary,RCB,Inflexible
Jorginho,27,20/12/1991,180,67,Italy,Chelsea,83,84,29000000,140000,CM;CDM,Right,2,3,3,5,2,57300000,Playmaker ,CDM,Finesse_Shot
A. Ramsey,28,26/12/1990,183,76,Wales,Juventus,83,83,25500000,140000,CM;CAM,Right,3,3,3,9,2,42100000,Engine,SUB,Power_Free-Kick;Argues_with_Officials
Gabriel Jesus,22,3/4/1997,175,73,Brazil,Manchester City,82,88,31000000,140000,ST,Right,2,3,4,9,1,63600000,Dribbler;Acrobat,SUB,Selfish;Outside_Foot_Shot;Crowd_Favourite
O. Giroud,32,30/9/1986,193,92,France,Chelsea,82,82,17500000,140000,ST,Left,3,3,3,5,1,33300000,Aerial_Threat;Strength,SUB,Selfish;Speed_Dribbler
Willian,30,9/8/1988,175,78,Brazil,Chelsea,82,82,21000000,140000,RW;LW,Right,3,4,4,9,2,39900000,Dribbler;Acrobat,SUB,Diver;Selfish;Crowd_Favourite
Pedro,31,28/7/1987,169,65,Spain,Chelsea,82,82,19500000,140000,RW;LW,Right,3,5,4,9,2,37100000,Ordinary,RW,Beat_Offside_Trap;Argues_with_Officials;Speed_Dribbler
D. Godín,33,16/2/1986,187,78,Uruguay,Inter,88,88,28000000,135000,CB,Right,3,3,2,6,1,47600000,Tackling ;Tactician ,RCB,Injury_Prone;Long_Passer
Thiago Silva,34,22/9/1984,183,82,Brazil,Paris Saint-Germain,87,87,18500000,135000,CB,Right,4,3,2,6,1,34200000,Tackling ;Tactician ,LCB,Avoids_Using_Weaker_Foot;Long_Passer
D. Mertens,32,6/5/1987,169,61,Belgium,Napoli,87,87,40000000,135000,CF;ST,Right,3,4,4,7,2,68000000,Dribbler;Acrobat;Clinical_Finisher;Complete_Forward,SUB,Beat_Offside_Trap;Selfish;Argues_with_Officials;Speed_Dribbler;Crowd_Favourite;Skilled_Dribbling
W. Szczesny,29,18/4/1990,195,90,Poland,Juventus,86,88,37500000,135000,GK,Right,3,3,1,5,1,64700000,Ordinary,GK,Acrobatic_Clearance
D. Alaba,27,24/6/1992,180,78,Austria,FC Bayern München,85,86,38000000,135000,LB;CB,Left,4,4,3,5,2,65600000,Ordinary,LB,Argues_with_Officials
I. Peri?ic,30,2/2/1989,186,80,Croatia,FC Bayern München,84,84,29500000,135000,LM,Right,3,5,4,5,1,0,Ordinary,SUB,Selfish;Early_Crosser
S. Khedira,32,4/4/1987,189,90,Germany,Juventus,83,83,19500000,135000,CM;CDM,Right,3,4,2,6,2,32200000,Strength,RES,Power_Free-Kick
J. Cuadrado,31,26/5/1988,179,72,Colombia,Juventus,83,83,22500000,135000,RM;RW,Right,3,3,5,8,2,37100000,Speedster;Dribbler;Acrobat,SUB,Injury_Free;Selfish;Argues_with_Officials;Crowd_Favourite
Juan Mata,31,28/4/1988,170,63,Spain,Manchester United,82,82,19500000,135000,CAM;RM,Left,3,3,4,5,2,37100000,FK_Specialist,SUB,Diver;Beat_Offside_Trap;Finesse_Shot;Giant_Throw-in
J. Lingard,26,15/12/1992,175,62,England,Manchester United,82,82,24000000,135000,CAM;RW,Right,2,3,4,9,2,45600000,Engine;Acrobat,CAM,Selfish;Argues_with_Officials;Speed_Dribbler
M. Hummels,30,16/12/1988,191,94,Germany,Borussia Dortmund,87,87,41000000,130000,CB,Right,4,3,3,8,1,67700000,Tackling ;Tactician ,LCB,Avoids_Using_Weaker_Foot;Leadership;Finesse_Shot;Long_Passer;Speed_Dribbler
F. Bernardeschi,25,16/2/1994,185,77,Italy,Juventus,83,85,31500000,130000,RM;CAM,Left,2,3,5,8,2,54300000,Dribbler,SUB,Selfish;Argues_with_Officials;Speed_Dribbler;Crowd_Favourite
Lucas Moura,26,13/8/1992,174,70,Brazil,Tottenham Hotspur,83,84,31000000,130000,CF;RM;LM,Right,3,4,4,8,3,59700000,Speedster;Dribbler;Acrobat,SUB,Injury_Free;Selfish;Early_Crosser
J. Oblak,26,7/1/1993,188,87,Slovenia,Atlético Madrid,91,93,77500000,125000,GK,Right,3,3,1,5,1,164700000,Ordinary,GK,Flair;Acrobatic_Clearance
J. Kimmich,24,8/2/1995,176,73,Germany,FC Bayern München,86,88,48000000,125000,RB;CM;CDM,Right,3,4,3,7,3,82800000,Crosser,RB,Good
Fabinho,25,23/10/1993,188,78,Brazil,Liverpool,85,89,45000000,125000,CDM,Right,3,2,3,6,1,86600000,Tackling ;Tactician ,CDM,Diver;Injury_Prone;Leadership
A. Robertson,25,11/3/1994,178,64,Scotland,Liverpool,85,89,43500000,125000,LB,Left,1,2,3,9,1,83700000,Engine,LB,Dives_Into_Tackles;Early_Crosser
Felipe Anderson,26,15/4/1993,175,70,Brazil,West Ham United,84,85,36500000,125000,LM,Right,3,4,4,8,1,72100000,Dribbler,RM,Beat_Offside_Trap;Selfish;Argues_with_Officials;Early_Crosser
João Moutinho,32,8/9/1986,170,61,Portugal,Wolverhampton Wanderers,84,84,23500000,125000,CM,Right,3,4,3,9,1,44700000,Playmaker ,LCM,Finesse_Shot
M. Özil,30,15/10/1988,180,76,Germany,Arsenal,84,84,29500000,125000,CAM;RW,Left,4,2,4,4,2,56100000,Playmaker ,CAM,Beat_Offside_Trap;Selfish;Finesse_Shot
Javi Martínez,30,2/9/1988,192,86,Spain,FC Bayern München,84,84,25500000,125000,CDM;CB,Right,3,3,2,2,2,42100000,Tackling ;Tactician ,SUB,Power_Free-Kick;Injury_Prone;Giant_Throw-in
J. Boateng,30,3/9/1988,192,90,Germany,FC Bayern München,84,84,25000000,125000,CB,Right,4,4,2,5,1,41300000,Tackling ;Strength,SUB,Inflexible;Power_Free-Kick;Leadership
M. Rashford,21,31/10/1997,186,70,England,Manchester United,83,88,35500000,125000,ST;LM,Right,2,3,5,9,2,70100000,Speedster;Engine;Acrobat,LM,Long_Throw-in;Selfish;Argues_with_Officials;Early_Crosser;Giant_Throw-in;Crowd_Favourite
